"","year","rank","restaurant","location","country","lat","lng"
"44",2002,44,"Blue Lagoon","Grindavik","Iceland",63.8433896,-22.4359996
"45",2002,45,"Bayona","New Orleans","United States",29.9508941,-90.0758355
"46",2002,46,"The Grundel","Budapest","Hungary",47.498382,19.040471
"47",2002,47,"Carnivore","Nairobi","Kenya",-1.2920659,36.8219462
"48",2002,48,"Bagatelle","Oslo","Norway",59.9138688,10.7522454
"49",2002,49,"Susar","Toronto","Canada",43.653226,-79.3831843
"50",2002,50,"Tantris","München","Germany",48.1351253,11.5819806
"51",2003,1,"The French Laundry","Yountville","United States",38.401578,-122.3608105
"52",2003,2,"El Bulli","Roses","Spain",42.2639489,3.1795528
"53",2003,3,"Le Louis XV","Monaco","Monaco",43.7384176,7.42461579
"54",2003,4,"Jean Georges","New York","United States",40.7127753,-74.0059728
"55",2003,5,"Restaurant Gordon Ramsay","London","United Kingdom",51.5072178,-0.1275862
"56",2003,6,"Arpège","Paris","France",48.8575475,2.3513765
"57",2003,7,"Comme Chez Soi","Brussels","Belgium",50.8476424,4.3571696
"58",2003,8,"Rockpool","Sydney","Australia",-33.8688197,151.2092955
"59",2003,9,"L'Ambroisie","Paris","France",48.8575475,2.3513765
"60",2003,10,"Gramercy Tavern","New York","United States",40.7127753,-74.0059728
"61",2003,11,"Michel Bras","Laguiole","France",44.683579,2.845605
"62",2003,12,"Chez Panisse","Berkeley","United States",37.8715226,-122.273042
"63",2003,13,"Pierre Gagnaire","Paris","France",48.8575475,2.3513765
"64",2003,14,"The Merchant House","London","United Kingdom",51.5072178,-0.1275862
"65",2003,15,"Bocca","Tallinn","Estonia",59.4369607,24.7535746
"66",2003,16,"Sukiyabashi Jiro","Tokyo","Japan",35.6764225,139.650027
"67",2003,17,"Felix","Hong Kong","Hong Kong",22.3193039,114.1693611
"68",2003,18,"L'Auberge de l'Ill","Illhaeusern","France",48.184834,7.43380399
"69",2003,19,"Gidleigh Park","Changford","United Kingdom",50.673066,-3.840265
"70",2003,20,"Bukhara","New Delhi","India",28.6139298,77.2088282
"71",2003,21,"Paul Boscoe","France","France",46.227638,2.213749
"72",2003,22,"De Karmeliet","Bruges","Belgium",51.2093707,3.2247548
"73",2003,23,"Al Mahara","Dubai","United Arab Emirates",25.2048493,55.2707828
"74",2003,24,"Vincent Guerithault on Camelback","Phoenix","United States",33.4483771,-112.0740373
"75",2003,25,"Thorton's","Dublin","Ireland",53.3498053,-6.2603097
"76",2003,26,"Nobu","London","United Kingdom",51.5072178,-0.1275862
"77",2003,27,"Operakällaren","Stockholm","Sweden",59.3293234,18.0685808
"78",2003,28,"Eigensinn Farm","Singhampton","Canada",44.350193,-80.248215
"79",2003,29,"Le Manoir aux Quat'Saison","Oxford","United Kingdom",51.7520209,-1.2577263
"80",2003,30,"Guy Savoy","Paris","France",48.8575475,2.3513765
"81",2003,31,"The Ivy","London","United Kingdom",51.5072178,-0.1275862
"82",2003,32,"The Three Chimneys","Isle of Skye","United Kingdom",57.2736278,-6.2155022
"83",2003,33,"Petrus","London","United Kingdom",51.5072178,-0.1275862
"84",2003,34,"Daniel","New York","United States",40.7127753,-74.0059728
"85",2003,35,"Dal Pescatore","Canneto sull'Oglio","Italy",45.1515537,10.3828899
"86",2003,36,"Bagatelle","Oslo","Norway",59.9138688,10.7522454
"87",2003,37,"Tetsuya's","Sydney","Australia",-33.8688197,151.2092955
"88",2003,38,"Quattro Passi","Massa Lubrense","Italy",40.6108903,14.3449936
"89",2003,39,"Charlie Trotter's","Chicago","United States",41.8781136,-87.6297982
"90",2003,40,"Arzak","San Sebastian","Spain",43.318237,-1.9817051
"91",2003,41,"Flower Drum","Melbourne","Australia",-37.8136276,144.9630576
"92",2003,42,"The Cliff","Durants","Barbados",13.1580476,-59.6326696
"93",2003,43,"The Square","London","United Kingdom",51.5072178,-0.1275862
"94",2003,44,"Enoteca Pinchiorri","Florence","Italy",43.7699685,11.2576706
